#: table_doi: 10.17182/hepdata.153301.v1/t10
#: name: Covariance for full matrix m(tt) differential
#: description: Covariance for full matrix measurement differential in $m(t\bar{t})$
#: data_file: covariance_for_full_matrix_m(tt)_differential.yaml
#: keyword reactions: P P --> TOP TOPBAR
#: keyword cmenergies: 13000
#: RE,P P --> TOP TOPBAR
#: SQRT(S) [TeV],13
#: LUMI [fb$^{-1}$],138
x-axis,y-axis,Covariance
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{-}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.0012285
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{-}$ for $300 < m(t\bar{t}) < 400 $ GeV,-2.2845e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$c$ for $400 < m(t\bar{t}) < 600 $ GeV,2.3682e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{r}$ for $400 < m(t\bar{t}) < 600 $ GeV,-6.2362e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{n}$ for $400 < m(t\bar{t}) < 600 $ GeV,5.7541e-07
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{k}$ for $400 < m(t\bar{t}) < 600 $ GeV,-1.5452e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{r}$ for $400 < m(t\bar{t}) < 600 $ GeV,5.0751e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{n}$ for $400 < m(t\bar{t}) < 600 $ GeV,3.8378e-07
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{k}$ for $400 < m(t\bar{t}) < 600 $ GeV,-3.3945e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rr}$ for $400 < m(t\bar{t}) < 600 $ GeV,2.4623e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nn}$ for $400 < m(t\bar{t}) < 600 $ GeV,3.3115e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{kk}$ for $400 < m(t\bar{t}) < 600 $ GeV,-1.2573e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{+}$ for $400 < m(t\bar{t}) < 600 $ GeV,-8.0624e-07
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{+}$ for $400 < m(t\bar{t}) < 600 $ GeV,-6.2456e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{+}$ for $400 < m(t\bar{t}) < 600 $ GeV,6.2328e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{-}$ for $400 < m(t\bar{t}) < 600 $ GeV,-7.598e-07
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{-}$ for $400 < m(t\bar{t}) < 600 $ GeV,-7.8209e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{-}$ for $400 < m(t\bar{t}) < 600 $ GeV,1.5261e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$c$ for $600 < m(t\bar{t}) < 800 $ GeV,3.4958e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{r}$ for $600 < m(t\bar{t}) < 800 $ GeV,3.4172e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{n}$ for $600 < m(t\bar{t}) < 800 $ GeV,7.3616e-07
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{k}$ for $600 < m(t\bar{t}) < 800 $ GeV,-1.5806e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{r}$ for $600 < m(t\bar{t}) < 800 $ GeV,9.3034e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{n}$ for $600 < m(t\bar{t}) < 800 $ GeV,5.6025e-07
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{k}$ for $600 < m(t\bar{t}) < 800 $ GeV,-8.7095e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rr}$ for $600 < m(t\bar{t}) < 800 $ GeV,-3.1228e-07
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nn}$ for $600 < m(t\bar{t}) < 800 $ GeV,-6.7005e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{kk}$ for $600 < m(t\bar{t}) < 800 $ GeV,8.8262e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{+}$ for $600 < m(t\bar{t}) < 800 $ GeV,-9.118e-07
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{+}$ for $600 < m(t\bar{t}) < 800 $ GeV,4.7147e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{+}$ for $600 < m(t\bar{t}) < 800 $ GeV,-1.7755e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{-}$ for $600 < m(t\bar{t}) < 800 $ GeV,1.7814e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{-}$ for $600 < m(t\bar{t}) < 800 $ GeV,3.7579e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{-}$ for $600 < m(t\bar{t}) < 800 $ GeV,-9.1298e-07
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$c$ for $m(t\bar{t}) > 800 $ GeV,1.7851e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{r}$ for $m(t\bar{t}) > 800 $ GeV,-4.3507e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{n}$ for $m(t\bar{t}) > 800 $ GeV,-3.2081e-07
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{k}$ for $m(t\bar{t}) > 800 $ GeV,-1.8281e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{r}$ for $m(t\bar{t}) > 800 $ GeV,3.6077e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{n}$ for $m(t\bar{t}) > 800 $ GeV,-2.2409e-08
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{k}$ for $m(t\bar{t}) > 800 $ GeV,-1.0277e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rr}$ for $m(t\bar{t}) > 800 $ GeV,1.1189e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nn}$ for $m(t\bar{t}) > 800 $ GeV,-3.2711e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{kk}$ for $m(t\bar{t}) > 800 $ GeV,1.1299e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{+}$ for $m(t\bar{t}) > 800 $ GeV,-4.0858e-07
